CHROM	START	END	BRCA_METH	BRCA_DEPTH	CEAD_METH	CEAD_DEPTH	CESC_METH	CESC_DEPTH	COAD_METH	COAD_DEPTH	OV_METH	OV_DEPTH	READ_METH	READ_DEPTH	bcell_METH	bcell_DEPTH	cd4tcell_METH	cd4tcell_DEPTH	cd8tcell_METH	cd8tcell_DEPTH	erythroblast_METH	erythroblast_DEPTH	monocyte_METH	monocyte_DEPTH	naturalkillercell_METH	naturalkillercell_DEPTH	neutrophil_METH	neutrophil_DEPTH
chr1	1764832	1765723	2266.0	2972	140.0	161	120.0	123	930.0	1077	224.0	304	809.0	935	2340.0	2563	4110.0	4234	2561.0	2682	2180.0	2310	1344.0	2746	2812.0	3003	1790.0	10514
chr1	2133237	2133702	819.0	2711	15.0	166	0.014861488321564368	109	31.0	2015	28.0	336	0.014861488321564368	627	15.0	1294	45.0	11441	8.0	3670	32.0	9273	3.0	4988	8.0	4084	22.0	14516
chr1	2290879	2291283	698.0	1472	18.0	55	25.0	28	342.0	658	37.0	155	225.0	363	18.0	1777	198.0	2845	52.0	1937	85.0	1261	1.0	2282	0.06097113448198702	1977	4.0	7535
chr1	3552420	3552569	614.0	654	23.0	35	64.763311335728	64	293.0	309	51.0	56	134.0	155	631.0	670	2096.0	2165	1053.0	1071	758.0	865	913.0	945	1176.0	1249	3616.0	3733
chr1	8922609	8923648	1627.0	2035	107.0	152	103.0	111	684.0	841	176.0	205	266.0	412	1397.0	1656	4626.0	4899	508.0	1275	1879.0	2242	1741.0	1879	1767.0	1974	6357.0	6795
chr1	8967011	8967899	1600.0	1843	89.0	96	74.0	85	750.0	860	156.0	175	313.0	455	1681.0	1843	1699.0	2323	621.0	1641	1448.0	1715	2024.0	2132	1908.0	2099	6535.0	6854
chr1	9627859	9628332	1642.0	1897	68.0	90	34.0	37	712.0	829	155.0	195	321.0	465	1244.0	1556	2176.0	2839	750.0	1749	2478.0	2827	2205.0	2443	1889.0	2223	6857.0	7682
chr1	10390696	10391420	1456.0	1696	93.0	104	48.0	59	447.0	555	84.0	117	319.0	440	1126.0	1217	1533.0	1587	1472.0	1538	691.0	760	1194.0	1481	1531.0	1621	206.0	4628
chr1	12197921	12198244	1488.0	2110	87.0	94	96.0	104	635.0	878	117.0	208	428.0	757	372.0	1605	3047.0	3151	962.0	996	1517.0	1621	1273.0	1339	1181.0	1263	4237.0	4452
chr1	24911573	24912862	2127.0	2497	92.0	114	110.0	135	625.0	1006	215.0	232	432.0	629	2328.0	2460	6023.0	6343	1446.0	2159	2712.0	3068	3626.0	3915	242.0	2532	11543.0	12533
chr1	27867655	27868168	1197.0	1543	62.0	71	55.0	78	345.0	508	126.0	153	240.0	382	1193.0	1283	1723.0	1800	1073.0	1143	334.0	759	1337.0	1389	1068.0	1161	4159.0	4418
chr1	31058372	31058618	1268.0	1592	57.0	73	44.0	58	382.0	526	70.0	84	279.0	427	938.0	982	390.0	920	483.0	605	865.0	914	1051.0	1105	633.0	883	3716.0	3922
chr1	38686077	38686814	1720.0	2904	134.0	155	158.0	192	648.0	804	148.0	330	376.0	629	1647.0	1819	2358.0	2562	1655.0	1807	995.0	1228	1677.0	1882	1586.0	1787	6946.0	7605
chr1	39540600	39541806	2479.0	3071	174.0	187	197.0	219	953.0	1137	268.0	355	594.0	739	1849.0	2359	5133.0	5349	1814.0	1884	2276.0	2534	413.0	2035	2040.0	2186	4970.0	7288
chr1	40388628	40389106	2312.0	2814	136.0	167	240.0	251	1257.0	1512	272.0	337	560.0	696	1675.0	2064	816.0	1552	186.0	993	950.0	1423	1110.0	1720	847.0	1354	3418.0	5299
chr1	58576637	58577083	66.0	3068	10.0	175	0.05595559212239244	122	2193.0	2948	15.0	334	248.0	750	468.0	4482	1819.0	24889	494.0	5793	215.0	11226	332.0	7792	318.0	6656	538.0	27784
chr1	61459316	61459658	1394.0	1505	94.0	100	68.0	73	401.0	446	99.0	124	291.0	306	737.0	898	2444.0	2770	1038.0	1430	1159.0	1209	1447.0	1511	105.0	1675	5028.0	5446
chr1	81801860	81802959	97.0	5639	19.0	389	6.0	239	2491.0	3835	8.0	631	181.0	1343	432.0	7166	238.0	20786	211.0	8421	51.0	7674	49.0	9947	94.0	9218	97.0	30774
chr1	150968686	150969343	1626.0	3826	95.0	106	51.0	59	668.0	729	233.0	253	453.0	520	1327.0	1369	3839.0	3941	1465.0	1526	1603.0	1661	1805.0	1916	1471.0	1599	5472.0	5902
chr1	155070988	155071045	1361.0	1726	0.07049425861208188	49	0.07049425861208188	49	4.0	267	2.0	84	3.0	239	6.0	722	21.0	2777	3.0	1263	4.0	1521	2.0	1493	0.07049425861208188	1338	6.0	4496
chr1	155675833	155676116	2962.0	3431	52.0	73	68.0	83	389.0	449	112.0	130	313.0	371	773.0	836	630.0	693	516.0	552	234.0	288	77.0	912	527.0	581	2321.0	2650
chr1	167430122	167431753	5136.0	5802	190.0	214	148.0	176	1481.0	1700	326.0	387	868.0	1044	1723.0	3663	9000.0	10602	3240.0	4015	4900.0	5266	4961.0	5267	731.0	4887	16443.0	17934
chr1	167479472	167480398	2731.0	3474	124.0	148	98.0	131	747.0	955	158.0	210	405.0	667	1478.0	1615	2563.0	3580	1125.0	1505	2394.0	2782	2059.0	2145	207.0	1302	7410.0	7781
chr1	203768618	203769254	2527.0	3083	80.0	105	75.0	89	445.0	541	126.0	151	115.0	325	1022.0	1064	2118.0	2198	898.0	927	967.0	1098	1156.0	1223	765.0	1030	2444.0	3390
chr2	10034080	10034579	2583.0	2962	202.0	220	233.0	287	1058.0	1197	188.0	215	475.0	592	1796.0	1886	4763.0	4935	1596.0	1653	2280.0	2429	813.0	1776	1621.0	1736	5647.0	6558
chr2	11914670	11914741	354.0	457	26.0	29	19.0	26	137.0	160	4.0	36	66.0	115	355.0	568	1285.0	1315	519.0	530	583.0	628	523.0	592	558.0	592	1589.0	2132
chr2	46549240	46550231	1092.0	1396	56.0	78	64.0	73	399.0	475	105.0	174	336.0	434	130.0	1116	1849.0	2404	689.0	1027	1086.0	1252	1362.0	1464	853.0	1273	4976.0	5283
chr2	60971893	60972726	4112.0	4858	439.0	514	298.0	350	1616.0	1922	290.0	400	1040.0	1217	1741.0	3839	9956.0	10452	3313.0	3543	4663.0	4956	4239.0	4385	4203.0	4440	15052.0	15711
chr2	65127453	65128055	2805.0	3387	154.0	207	172.0	186	1236.0	1385	420.0	461	836.0	977	2882.0	3054	4642.0	4825	2043.0	2180	3119.0	3294	2788.0	3030	2647.0	2865	9854.0	11070
chr2	68206097	68206537	1007.0	1159	39.0	59	84.0	100	312.0	378	115.0	123	237.0	282	539.0	560	79.0	1014	169.0	365	618.0	659	688.0	713	374.0	556	2490.0	2672
chr2	74079939	74080695	1137.0	1472	91.0	109	94.0	108	385.0	491	111.0	154	405.0	465	769.0	1235	1874.0	1979	853.0	908	1061.0	1200	83.0	1156	1105.0	1268	3577.0	4383
chr2	86823342	86823764	1153.0	1493	112.0	123	60.0	80	441.0	535	109.0	115	313.0	366	1005.0	1098	2076.0	2151	216.0	911	842.0	981	1043.0	1101	968.0	1102	4081.0	4282
chr2	86826615	86826926	813.0	921	48.0	68	49.0	51	318.0	424	65.0	88	189.0	249	960.0	998	1267.0	1467	96.0	697	673.0	744	819.0	850	669.0	788	3463.0	3587
chr2	91442239	91442793	4369.0	11397	370.0	665	288.0	407	2870.0	4395	191.0	721	1651.0	2789	782.0	5438	2932.0	36200	882.0	11332	1242.0	16226	837.0	15279	1081.0	12890	2874.0	43844
chr2	98634186	98635024	1333.0	1580	67.0	93	89.0	104	471.0	573	165.0	176	467.0	534	1200.0	1281	1415.0	2187	479.0	1031	984.0	1165	1420.0	1501	39.0	645	4013.0	4694
chr2	98775603	98775940	805.0	1000	44.0	47	52.0	55	281.0	322	56.0	142	222.0	265	1006.0	1145	3368.0	3470	1246.0	1280	1440.0	1699	1408.0	1733	1336.0	1501	4464.0	5410
chr2	101309692	101310115	1421.0	1627	93.0	110	110.0	122	483.0	546	128.0	162	454.0	541	1220.0	1300	2228.0	2354	1129.0	1213	1841.0	1999	151.0	1683	1137.0	1313	1666.0	4851
chr2	112187557	112187654	461.0	504	73.0	90	53.65459668897499	53	204.0	223	87.0	94	161.0	172	630.0	672	399.0	1408	220.0	394	848.0	902	726.0	745	581.0	643	2526.0	2617
chr2	114661965	114662589	1028.0	3671	159.0	327	255.0	278	1332.0	2072	109.0	487	966.0	1540	611.0	4304	2738.0	15400	709.0	5693	773.0	6228	333.0	6770	491.0	6149	1546.0	23138
chr2	135658251	135658493	837.0	994	56.0	73	48.0	67	297.0	358	98.0	111	245.0	296	716.0	839	526.0	1229	38.0	755	578.0	628	766.0	800	332.0	706	2663.0	2776
chr2	163708425	163708735	945.0	1117	68.0	75	92.0	110	115.0	231	107.0	135	25.0	213	389.0	421	1112.0	1155	437.0	455	284.0	354	479.0	552	538.0	575	1112.0	1757
chr2	176107311	176107865	1286.0	3350	61.0	271	0.06069578956608245	196	2128.0	3012	80.0	487	86.0	1646	875.0	4092	1241.0	25694	556.0	6742	128.0	10980	219.0	8340	429.0	7891	690.0	29830
chr2	176157559	176158126	1563.0	3417	38.0	219	54.0	136	197.0	1662	35.0	331	63.0	1116	418.0	3058	504.0	7526	177.0	2694	39.0	3572	182.0	3876	216.0	3463	629.0	12271
chr2	203940822	203941094	2206.0	2586	154.0	183	58.0	86	538.0	690	188.0	227	544.0	655	1511.0	1570	158.0	611	383.0	622	1182.0	1278	1539.0	1584	1233.0	1406	4857.0	5134
chr2	237899140	237899319	540.0	790	53.0	72	35.0	44	120.0	212	59.0	75	101.0	277	692.0	876	324.0	675	242.0	353	411.0	488	760.0	828	49.0	798	1985.0	2250
chr2	239260170	239260521	1176.0	1282	64.0	75	52.0	63	245.0	476	127.0	157	72.0	475	1302.0	1422	1435.0	1566	996.0	1089	954.0	1007	1038.0	1452	964.0	1086	2359.0	4699
chr2	239303029	239303568	2169.0	2418	141.0	154	106.0	108	474.0	881	178.0	223	608.0	671	964.0	1921	3874.0	4537	1517.0	1884	2165.0	2433	560.0	2951	1367.0	2363	7456.0	10333
chr2	241049854	241049942	399.0	475	33.0	39	46.0	51	279.0	315	72.0	76	129.0	155	561.0	594	2630.0	2787	639.0	703	206.0	1340	872.0	934	751.0	827	2946.0	3258
chr2	241112393	241113051	1129.0	1331	46.0	75	63.0	79	335.0	432	107.0	139	321.0	387	669.0	1016	1152.0	1427	194.0	705	655.0	749	1071.0	1142	610.0	861	3372.0	3731
chr3	2156263	2156707	1100.0	1959	72.0	102	89.0	109	683.0	889	133.0	178	115.0	554	1013.0	2076	3448.0	6066	993.0	2346	941.0	2333	1448.0	2868	1268.0	2677	4714.0	9917
chr3	15219872	15220269	1724.0	2022	81.0	92	56.0	106	600.0	719	100.0	168	472.0	546	1574.0	1644	1809.0	1834	1312.0	1372	784.0	842	842.0	1331	1377.0	1427	729.0	4907
chr3	15303529	15304855	3338.0	3833	197.0	221	136.0	156	1005.0	1289	276.0	309	882.0	1225	3171.0	3805	4255.0	5016	1688.0	2297	2346.0	2697	3324.0	3566	595.0	2437	10612.0	11589
chr3	36992663	36993866	29.0	7203	0.019728580874712683	329	1.0	313	3269.0	4852	3.0	817	226.0	2352	37.0	9468	116.0	27121	6.0	11276	66.0	26513	12.0	12345	1.0	12001	150.0	44205
chr3	50340405	50340776	1369.0	3111	10.0	102	0.019595283505463794	42	29.0	2124	35.0	254	378.0	1311	16.0	2777	150.0	18757	15.0	5602	11.0	12918	10.0	6821	1.0	7471	18.0	22077
chr3	123114548	123114822	711.0	768	48.66808716707022	48	54.0	61	251.0	274	64.0	75	187.0	212	614.0	710	1022.0	1097	497.0	543	201.0	499	832.0	948	432.0	541	1985.0	2484
chr3	134915697	134915828	657.0	1048	50.588777206173326	50	48.0	51	306.0	367	111.0	112	256.0	296	709.0	783	1139.0	2064	497.0	966	837.0	944	979.0	1018	184.0	1194	3526.0	3742
chr3	136819210	136820334	998.0	3771	4.0	221	10.0	237	1138.0	1718	4.0	386	30.0	1129	204.0	4146	215.0	11409	114.0	5417	56.0	4868	12.0	6308	50.0	6011	32.0	21245
chr3	171676528	171676808	852.0	915	71.0	81	51.0	54	122.0	269	111.0	132	19.0	197	531.0	703	1836.0	2164	751.0	938	927.0	976	475.0	1030	578.0	975	1757.0	3515
chr3	179451507	179452011	263.0	4227	6.0	222	4.0	266	1167.0	1894	12.0	466	41.0	1274	208.0	3857	561.0	11137	314.0	5598	218.0	6135	29.0	5299	228.0	6554	32.0	20852
chr3	183579899	183580358	948.0	1602	48.0	70	49.0	91	306.0	446	23.0	153	221.0	355	508.0	1305	1542.0	1609	739.0	792	663.0	758	910.0	943	793.0	871	3233.0	3377
chr3	183815625	183816087	1045.0	1214	58.0	71	59.0	69	256.0	323	105.0	146	285.0	339	712.0	988	600.0	877	106.0	635	458.0	518	763.0	860	405.0	637	2641.0	2911
chr3	187017803	187018175	691.0	863	60.0	76	74.0	89	193.0	216	39.0	131	214.0	252	484.0	695	703.0	738	575.0	605	297.0	366	490.0	679	590.0	636	1204.0	2075
chr3	194687074	194687950	1873.0	6230	23.0	319	0.10465603437313863	205	3349.0	4482	30.0	631	35.0	1764	750.0	7030	3999.0	34108	1369.0	10326	814.0	18291	1185.0	12339	978.0	12166	5142.0	41528
chr4	879914	879975	447.0	548	14.0	26	16.55643296802282	16	128.0	193	25.0	33	106.0	126	257.0	381	54.0	1224	197.0	427	587.0	615	442.0	459	507.0	618	1853.0	1995
chr4	27084902	27085206	785.0	2220	46.0	111	40.0	96	318.0	916	4.0	292	80.0	412	44.0	2343	54.0	5288	26.0	1793	19.0	2442	2.0	2320	14.0	1782	25.0	7819
chr4	30717745	30719318	810.0	7070	16.0	389	1.0	282	1676.0	2664	13.0	690	121.0	2087	555.0	6835	226.0	8297	291.0	5876	10.0	2587	85.0	8090	133.0	6560	263.0	25703
chr4	41644309	41644455	1063.0	1346	33.0	130	18.0	81	247.0	596	17.0	162	20.0	350	101.0	1569	201.0	5029	83.0	1871	53.0	2085	21.0	2054	28.0	2019	68.0	7685
